community,has_airport,has_road_access,has_water_access,primary_access_modes,latitude,longitude,coastal,cat_tier_level,access_score,tier_justification,harbordock,stateferry,cargobarge,data_collection_date
kupreanof,False,False,False,no_direct_access,58.627918,-132.196812,True,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,False,2025-12-20
kwethluk,True,False,False,air,61.041265,-161.488152,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
kwigillingok,True,False,False,air,60.21369,-163.237057,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
lake louise,True,True,False,"air,road",62.530365,-146.529316,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
lake minchumina,False,False,False,no_direct_access,63.940717,-152.3048,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
lakes,False,True,False,road,61.703219,-149.274335,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
larsen bay,True,False,False,air,57.54071,-153.981365,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
lazy mountain,False,True,False,road,61.749279,-149.021626,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
levelock,True,False,False,air,59.15818,-156.865497,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
lignite,False,True,False,road,64.03578,-148.988648,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
lime,True,False,False,air,61.393807,-155.441248,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
litnik,False,False,False,no_direct_access,58.094072,-152.826154,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
livengood,True,True,False,"air,road",65.672713,-148.486482,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
loring,True,False,False,air,57.71311,-130.691438,True,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
lowell point,False,True,False,road,60.171848,-149.42357,True,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
lower kalskag,False,False,False,no_direct_access,61.690122,-160.403122,False,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,True,2025-12-20
lutak,False,True,False,road,60.630886,-135.010461,True,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
manley hot springs,True,True,False,"air,road",65.086597,-150.608101,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,True,2025-12-20
manokotak,True,False,False,air,59.091975,-159.075797,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
marshall,True,False,False,air,62.148672,-162.155896,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
mary's igloo,False,False,False,no_direct_access,65.591232,-165.266739,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
mccarthy,True,False,False,air,61.905894,-142.78432,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
mcgrath,True,False,False,air,63.001424,-155.595462,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
mckinley park,True,True,False,"air,road",63.866431,-148.878795,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
meadow lakes,True,True,False,"air,road",61.726512,-149.583741,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
medfra,False,False,False,no_direct_access,63.150755,-154.702347,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
mekoryuk,True,False,False,air,60.962483,-166.363208,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
mendeltna,False,True,False,road,62.282255,-146.48041,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
mentasta lake,False,True,False,road,63.328816,-143.667945,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
mertarvik,False,False,False,no_direct_access,61.250829,-164.624397,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,True,2025-12-20
metlakatla,True,False,True,"air,water",55.266741,-131.560072,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
meyers chuck,True,False,False,air,57.728328,-131.385871,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
millers landing,False,True,False,road,59.708952,-151.436693,True,3,35,Single mode access (road) - limited transport options,True,False,False,2025-12-20
minto,True,True,False,"air,road",65.276186,-149.302481,False,1,75,"Full multimodal access (air,road) including road connectivity",True,False,False,2025-12-20
moose creek,False,True,False,road,64.913348,-147.075167,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
moose pass,True,True,False,"air,road",60.590423,-149.349629,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
mosquito lake,False,True,False,road,60.693284,-135.53492,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
mountain,True,False,False,air,62.459518,-163.832515,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
mountain point,False,False,False,no_direct_access,57.443046,-130.572473,True,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,False,2025-12-20
mud bay,False,True,False,road,60.506893,-134.825616,True,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
nabesna,True,True,False,"air,road",62.832062,-142.864957,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
naknek,True,False,False,air,58.775315,-157.02874,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
nanwalek,True,False,False,air,59.386921,-151.914689,True,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
napaimute,True,False,False,air,61.649189,-158.754955,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
napakiak,True,False,False,air,60.954581,-162.031557,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
napaskiak,True,False,False,air,60.955786,-161.80846,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
naukati bay,False,False,False,no_direct_access,57.683772,-132.438698,True,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,False,2025-12-20
nelchina,False,True,False,road,62.210141,-146.725342,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
nelson lagoon,True,False,False,air,56.21586,-161.256587,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
nenana,True,True,False,"air,road",64.693444,-149.047457,False,1,75,"Full multimodal access (air,road) including road connectivity",True,False,True,2025-12-20
new allakaket,False,False,False,no_direct_access,66.604032,-152.635995,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
new stuyahok,True,False,False,air,59.510136,-157.321232,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
newhalen,False,False,False,no_direct_access,59.742569,-154.896795,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,True,2025-12-20
newtok,True,False,False,air,61.377658,-164.751005,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
nightmute,True,False,False,air,60.931118,-164.851777,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
nikiski,True,True,False,"air,road",60.787747,-151.288722,True,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
nikolaevsk,False,True,False,road,59.852155,-151.606796,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
nikolai,True,False,False,air,63.057272,-154.376835,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
nikolski,True,False,False,air,53.935502,-169.209178,True,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
ninilchik,True,True,False,"air,road",60.084368,-151.668905,True,1,75,"Full multimodal access (air,road) including road connectivity",True,False,False,2025-12-20
noatak,True,False,False,air,67.865278,-163.185277,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
nome,True,False,False,air,64.973079,-165.608914,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
nondalton,True,False,False,air,59.991049,-154.859508,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
noorvik,True,False,False,air,67.041083,-161.164414,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
north lakes,False,True,False,road,61.730133,-149.288633,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
north pole,True,True,False,"air,road",64.950865,-147.279214,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
northway,True,True,False,"air,road",63.502776,-141.739006,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
nuiqsut,True,False,False,air,70.281653,-150.917726,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
