frn,provider_id,brand_name,location_id,technology,max_advertised_download_speed,max_advertised_upload_speed,low_latency,business_residential_code,state_usps,block_geoid,h3_res8_id
0001568880,130534,GCI Communication Corp.,1314962974,40,2500,75,1,X,AK,020200028221005,880c732151fffff
0001568880,130534,GCI Communication Corp.,1314968421,40,2500,75,1,X,AK,020200008014001,880c733ac9fffff
0001568880,130534,GCI Communication Corp.,1314969466,40,2500,75,1,X,AK,020200002012009,880c73a99dfffff
0001568880,130534,GCI Communication Corp.,1314970561,40,2500,75,1,X,AK,020200002053006,880c73a8b5fffff
0001568880,130534,GCI Communication Corp.,1314971906,40,2500,75,1,X,AK,020200013003006,880c733847fffff
0001568880,130534,GCI Communication Corp.,1314973681,40,2500,75,1,X,AK,020200009011040,880c733a31fffff
0001568880,130534,GCI Communication Corp.,1314975132,40,2500,75,1,X,AK,020200028121007,880c73216bfffff
0001568880,130534,GCI Communication Corp.,1314986276,40,2500,75,1,X,AK,020200017021010,880c733ad9fffff
0001568880,130534,GCI Communication Corp.,1314990508,40,2500,75,1,X,AK,020200022013000,880c733829fffff
0001568880,130534,GCI Communication Corp.,1314991601,40,2500,75,1,X,AK,020200009021000,880c733a33fffff
0001568880,130534,GCI Communication Corp.,1314992345,40,2500,75,1,X,AK,020200028122004,880c73232dfffff
0001568880,130534,GCI Communication Corp.,1314996012,40,2500,75,1,X,AK,020200016011012,880c733ae9fffff
0001568880,130534,GCI Communication Corp.,1314997375,40,2500,75,1,X,AK,020200027131015,880c732167fffff
0001568880,130534,GCI Communication Corp.,1314999499,40,2500,75,1,X,AK,020200010001004,880c73384bfffff
0001568880,130534,GCI Communication Corp.,1315003990,40,2500,75,1,X,AK,020200026032000,880c7338dbfffff
0001568880,130534,GCI Communication Corp.,1315004085,40,2500,75,1,X,AK,020200026032000,880c7338dbfffff
0001568880,130534,GCI Communication Corp.,1315005176,40,2500,75,1,X,AK,020200027112000,880c733993fffff
0001568880,130534,GCI Communication Corp.,1315007128,40,2500,75,1,X,AK,020200023051006,880c7339d3fffff
0001568880,130534,GCI Communication Corp.,1315007951,40,2500,75,1,X,AK,020200027121004,880c733885fffff
0001568880,130534,GCI Communication Corp.,1315008590,40,2500,75,1,X,AK,020200016022013,880c733a8bfffff
0001568880,130534,GCI Communication Corp.,1315011150,40,2500,75,1,X,AK,020200028212004,880c732105fffff
0001568880,130534,GCI Communication Corp.,1315014295,40,2500,75,1,X,AK,020200006014006,880c733a1bfffff
